Timestamp,Session_ID,Fruit_ID,Quality,Area,Status
17:40:50,20260401_174043,0,29.5,268324,REJECT
17:40:50,20260401_174043,1,57.3,87616,LOW
17:40:53,20260401_174043,2,46.5,435600,LOW
17:40:53,20260401_174043,3,42.9,101124,LOW
17:40:54,20260401_174043,4,58.2,7056,LOW
17:40:54,20260401_174043,5,38.0,19600,REJECT
17:40:54,20260401_174043,6,41.3,150544,LOW
17:40:55,20260401_174043,7,24.1,63504,REJECT
17:40:56,20260401_174043,8,21.0,6400,REJECT
17:40:56,20260401_174043,9,65.0,174724,LOW
17:40:56,20260401_174043,10,35.2,14884,REJECT
17:40:57,20260401_174043,11,26.9,4356,REJECT
17:40:57,20260401_174043,12,38.5,4356,REJECT
17:40:57,20260401_174043,13,21.0,6724,REJECT
17:40:58,20260401_174043,14,48.1,30276,LOW
17:40:58,20260401_174043,15,23.5,54756,REJECT
17:40:58,20260401_174043,16,18.0,55696,REJECT
17:40:59,20260401_174043,17,32.1,4096,REJECT
17:40:59,20260401_174043,18,28.4,4624,REJECT
17:41:00,20260401_174043,19,27.0,23104,REJECT
17:41:00,20260401_174043,20,23.2,21316,REJECT
17:41:00,20260401_174043,21,32.2,22500,REJECT
17:41:00,20260401_174043,22,76.5,24964,PASS
17:41:01,20260401_174043,23,64.4,23104,LOW
17:41:01,20260401_174043,24,30.6,28900,REJECT
17:41:01,20260401_174043,25,50.9,17956,LOW
17:41:02,20260401_174043,26,28.4,4624,REJECT
17:41:02,20260401_174043,27,19.4,6724,REJECT
17:41:02,20260401_174043,28,15.2,4900,REJECT
17:41:03,20260401_174043,29,15.0,5476,REJECT
17:41:03,20260401_174043,30,35.9,26896,REJECT
17:41:03,20260401_174043,31,55.7,28900,LOW
17:41:04,20260401_174043,32,16.0,4900,REJECT
17:41:04,20260401_174043,33,31.5,28900,REJECT
17:41:04,20260401_174043,34,52.5,16384,LOW
17:41:04,20260401_174043,35,36.2,29584,REJECT
17:41:04,20260401_174043,36,21.6,5184,REJECT
17:41:05,20260401_174043,37,24.0,5184,REJECT
17:41:05,20260401_174043,38,14.5,5184,REJECT
17:41:05,20260401_174043,39,55.2,17956,LOW
17:41:06,20260401_174043,40,57.5,16384,LOW
17:41:06,20260401_174043,41,42.5,22500,LOW
17:41:06,20260401_174043,42,64.8,16384,LOW
17:41:06,20260401_174043,43,43.1,28224,LOW
17:41:07,20260401_174043,44,58.2,51076,LOW
17:41:07,20260401_174043,45,31.3,6724,REJECT
17:41:07,20260401_174043,46,50.2,14400,LOW
17:41:07,20260401_174043,47,43.9,51984,LOW
17:41:08,20260401_174043,48,35.8,17956,REJECT
17:41:08,20260401_174043,49,38.6,44944,REJECT
17:41:08,20260401_174043,50,20.7,44100,REJECT
