Timestamp,MQ2,MQ3,MQ135,Temperature,Humidity
2026-03-29 18:17:09,51,1937,0,28.90,74.80
2026-03-29 18:17:14,25,1934,15,28.90,74.50
2026-03-29 18:17:19,56,1918,144,28.90,74.50
2026-03-29 18:17:24,77,1921,42,28.90,74.70
2026-03-29 18:17:29,65,1909,53,28.90,74.60
2026-03-29 18:17:34,59,1890,57,28.90,74.60
2026-03-29 18:17:39,76,1879,65,28.80,74.70
2026-03-29 18:17:44,65,1882,62,28.90,74.90
2026-03-29 18:17:49,65,1872,50,28.90,74.70
2026-03-29 18:17:54,69,1881,42,28.90,74.90
2026-03-29 18:17:59,62,1851,48,28.90,74.90
2026-03-29 18:18:06,69,1854,59,28.90,74.90
2026-03-29 18:18:12,65,1857,41,28.90,74.70
2026-03-29 18:18:17,74,1843,62,28.90,74.80
2026-03-29 18:18:22,64,1840,62,28.90,74.80
2026-03-29 18:18:27,64,1821,51,28.90,74.90
2026-03-29 18:18:32,57,1818,61,28.90,74.90
2026-03-29 18:18:37,70,1827,64,28.90,75.20
2026-03-29 18:18:42,71,1815,37,28.90,74.80
2026-03-29 18:18:47,77,1798,46,28.90,74.60
2026-03-29 18:18:52,73,1783,46,28.90,74.70
2026-03-29 18:18:57,64,1787,55,28.90,74.70
2026-03-29 18:19:02,48,1802,50,28.90,74.70
2026-03-29 18:19:07,64,1783,48,28.90,74.70
2026-03-29 18:19:12,63,1771,57,28.90,74.60
2026-03-29 18:19:17,62,1775,47,28.90,74.60
2026-03-29 18:19:22,65,1759,54,28.90,74.60
2026-03-29 18:19:27,51,1763,51,28.90,74.80
2026-03-29 18:19:37,55,1734,48,28.90,74.70
2026-03-29 18:19:42,67,1745,57,28.90,74.80
2026-03-29 18:19:47,57,1741,47,28.90,75.00
2026-03-29 18:19:52,57,1733,58,28.80,75.00
2026-03-29 18:19:57,57,1737,48,28.90,74.80
2026-03-29 18:20:02,51,1727,48,28.80,74.80
2026-03-29 18:20:07,52,1700,59,28.80,74.80
2026-03-29 18:20:12,58,1701,57,28.80,74.80
2026-03-29 18:20:17,68,1687,45,28.80,74.70
2026-03-29 18:20:22,70,1689,60,28.80,74.60
2026-03-29 18:20:27,51,1691,52,28.90,74.60
2026-03-29 18:20:32,48,1703,49,28.80,74.70
2026-03-29 18:20:37,67,1680,53,28.80,74.60
2026-03-29 18:20:42,69,1680,60,28.80,74.70
2026-03-29 18:20:47,69,1678,49,28.80,74.60
2026-03-29 18:20:52,66,1680,48,28.80,74.60
2026-03-29 18:20:57,67,1680,48,28.80,74.60
2026-03-29 18:21:02,23,1669,63,28.70,74.70
2026-03-29 18:21:07,64,1651,45,28.80,74.70
2026-03-29 18:21:12,68,1659,54,28.70,74.80
2026-03-29 18:21:17,64,1655,16,28.80,74.90
2026-03-29 18:21:22,47,1639,44,28.70,74.90
2026-03-29 18:21:27,65,1641,54,28.70,75.00
2026-03-29 18:21:32,78,1661,51,28.70,74.80
2026-03-29 18:25:23,67,1392,7,28.60,76.20
2026-03-29 18:25:28,80,1388,1,28.60,76.00
2026-03-29 18:25:33,66,1378,15,28.60,76.00
2026-03-29 18:25:38,52,1375,2,28.60,75.90
2026-03-29 18:25:43,58,1372,19,28.60,75.90
2026-03-29 18:25:48,75,1363,15,28.60,75.80
2026-03-29 18:25:53,69,1343,0,28.60,75.70
2026-03-29 18:25:58,64,1375,3,28.60,75.90
2026-03-29 18:26:03,58,1373,12,28.60,75.90
2026-03-29 18:26:08,81,1365,16,28.60,75.80
2026-03-29 18:26:13,57,1357,13,28.60,75.90
2026-03-29 18:26:18,60,1329,4,28.60,76.00
2026-03-29 18:26:23,77,1347,8,28.60,76.40
2026-03-29 18:26:28,79,1359,16,28.60,76.50
2026-03-29 18:26:33,63,1344,13,28.60,76.50
2026-03-29 18:26:38,69,1365,1,28.60,77.30
2026-03-29 18:26:43,67,1359,13,28.70,77.50
2026-03-29 18:26:48,76,1373,0,28.70,76.60
2026-03-29 18:26:53,80,1360,13,28.70,76.00
2026-03-29 18:26:58,71,1359,1,28.70,75.50
2026-03-29 18:27:03,67,1362,12,28.70,75.10
2026-03-29 18:27:08,64,1354,5,28.70,75.20
2026-03-29 18:27:13,76,1350,3,28.70,74.90
2026-03-29 18:27:18,57,1331,1,28.80,74.80
2026-03-29 18:27:23,75,1349,0,28.80,74.70
2026-03-29 18:27:28,53,1360,16,28.80,74.80
2026-03-29 18:27:33,70,1370,5,28.70,74.70
2026-03-29 18:27:39,81,1343,1,28.80,74.60
2026-03-29 18:27:44,66,1343,0,28.80,74.80
2026-03-29 18:27:49,77,1340,16,28.80,74.70
2026-03-29 18:27:54,72,1335,14,28.80,74.60
2026-03-29 18:27:59,77,1310,15,28.80,74.60
2026-03-29 18:28:04,74,1312,3,28.70,74.70
2026-03-29 18:28:09,76,1360,21,28.70,74.60
2026-03-29 18:28:14,77,1351,7,28.70,74.70
2026-03-29 18:28:19,49,1350,11,28.70,74.70
2026-03-29 18:28:24,80,1323,6,28.70,74.70
2026-03-29 18:28:29,71,1351,9,28.80,74.70
2026-03-29 18:28:34,64,1315,11,28.80,74.60
2026-03-29 18:28:39,66,1325,16,28.70,74.70
2026-03-29 18:28:44,64,1344,7,28.70,74.70
2026-03-29 18:28:49,65,1343,3,28.70,74.80
2026-03-29 18:28:54,70,1344,0,28.70,74.80
2026-03-29 18:28:59,65,1332,0,28.70,74.70
2026-03-29 18:29:04,64,1323,16,28.70,74.80
2026-03-29 18:29:09,75,1333,16,28.70,74.90
2026-03-29 18:29:14,49,1318,1,28.70,74.90
2026-03-29 18:29:19,54,1313,16,28.70,74.90
2026-03-29 18:29:24,52,1311,0,28.70,74.90
2026-03-29 18:29:29,65,1329,0,28.70,74.90
2026-03-29 18:29:34,61,1307,14,28.70,74.90
2026-03-29 18:29:39,77,1306,14,28.70,74.90
2026-03-29 18:29:44,47,1309,0,28.70,75.00
2026-03-29 18:29:49,60,1311,12,28.70,75.00
2026-03-29 18:29:54,48,1293,13,28.70,74.90
2026-03-29 18:29:59,73,1294,34,28.70,75.00
2026-03-29 18:30:04,60,1285,0,28.70,75.10
2026-03-29 18:30:09,64,1279,10,28.70,75.00
2026-03-29 18:30:14,74,1300,0,28.70,75.00
2026-03-29 18:30:19,71,1282,14,28.70,75.20
2026-03-29 18:30:24,65,1291,15,28.70,75.00
2026-03-29 18:30:29,68,1298,10,28.70,75.00
2026-03-29 18:30:34,65,1295,0,28.60,75.00
2026-03-29 18:30:39,65,1287,11,28.70,75.10
2026-03-29 18:30:44,67,1287,9,28.70,75.10
2026-03-29 18:30:49,67,1296,16,28.70,75.10
2026-03-29 18:30:54,86,1281,5,28.70,75.20
2026-03-29 18:30:59,59,1269,0,28.70,75.20
2026-03-29 18:31:04,64,1295,13,28.60,75.20
2026-03-29 18:31:09,76,1290,0,28.60,75.30
2026-03-29 18:31:14,69,1296,0,28.60,75.10
2026-03-29 18:31:19,76,1303,4,28.60,75.40
2026-03-29 18:31:24,64,1280,13,28.60,75.20
2026-03-29 18:31:29,51,1264,5,28.60,75.40
2026-03-29 18:31:34,63,1264,18,28.60,75.20
2026-03-29 18:31:39,69,1280,0,28.60,75.20
2026-03-29 18:31:44,61,1282,16,28.60,75.30
2026-03-29 18:31:49,77,1299,1,28.60,75.20
2026-03-29 18:31:54,75,1283,0,28.60,75.40
2026-03-29 18:31:59,64,1296,1,28.60,75.40
2026-03-29 18:32:04,64,1264,0,28.60,75.30
2026-03-29 18:32:09,64,1275,1,28.60,75.40
2026-03-29 18:32:14,123,1264,15,28.60,75.50
2026-03-29 18:32:19,66,1259,16,28.60,75.30
2026-03-29 18:32:24,78,1289,15,28.60,75.30
2026-03-29 18:32:31,77,1264,7,28.60,75.50
2026-03-29 18:32:36,60,1247,23,28.60,75.40
2026-03-29 18:32:41,73,1264,1,28.60,75.30
2026-03-29 18:32:46,112,1264,5,28.60,75.30
2026-03-29 18:32:51,67,1264,3,28.60,75.40
2026-03-29 18:32:56,65,1262,0,28.60,75.50
2026-03-29 18:33:01,67,1241,0,28.60,75.50
2026-03-29 18:33:06,52,1251,16,28.60,75.40
2026-03-29 18:33:11,59,1234,16,28.60,75.30
2026-03-29 18:33:16,64,1244,0,28.60,75.60
2026-03-29 18:33:21,48,1265,7,28.60,75.50
2026-03-29 18:33:26,66,1244,0,28.60,75.40
2026-03-29 18:33:31,78,1237,0,28.60,75.50
2026-03-29 18:33:41,53,1232,18,28.60,75.50
2026-03-29 18:33:46,53,1235,3,28.60,75.60
2026-03-29 18:33:51,60,1233,11,28.50,75.50
2026-03-29 18:33:56,59,1229,0,28.60,75.50
2026-03-29 18:34:01,61,1221,11,28.60,75.50
2026-03-29 18:34:06,60,1235,2,28.60,75.60
2026-03-29 18:34:11,69,1245,0,28.60,75.60
2026-03-29 18:34:16,64,1189,0,28.60,75.50
2026-03-29 18:34:21,65,1212,5,28.60,75.60
2026-03-29 18:34:26,61,1232,0,28.60,75.50
2026-03-29 18:34:31,67,1225,0,28.60,75.60
2026-03-29 18:34:36,71,1233,9,28.60,75.80
2026-03-29 18:34:41,70,1249,16,28.60,75.70
2026-03-29 18:34:46,53,1232,12,28.60,75.60
2026-03-29 18:34:51,70,1230,3,28.60,75.60
2026-03-29 18:34:56,78,1219,7,28.60,75.60
2026-03-29 18:35:01,64,1215,0,28.60,75.60
2026-03-29 18:35:06,64,1211,1,28.50,75.50
2026-03-29 18:35:11,59,1235,10,28.60,75.50
2026-03-29 18:35:16,69,1195,16,28.60,75.60
2026-03-29 18:35:21,59,1187,7,28.60,75.80
2026-03-29 18:35:26,57,1223,10,28.50,75.70
2026-03-29 18:35:31,70,1207,12,28.60,75.70
2026-03-29 18:35:36,64,1200,0,28.60,75.60
2026-03-29 18:35:43,57,1200,15,28.50,75.60
2026-03-29 18:35:48,54,1193,2,28.50,75.60
