Vision_Quality,Area,Gas_Quality,Humidity,Temperature,Shelf_Life_Days,Spoilage_Phase
91.97371322408986,344469.0,95.0,74.8,28.9,,3
93.18150830480553,410921.0,95.0,74.5,28.9,,3
86.12677300221331,340634.0,88.5,74.5,28.9,,3
100.0,380697.0,97.0,74.7,28.9,,3
84.24420491252039,371702.0,97.0,74.6,28.9,,3
84.2926584575003,331370.0,98.5,74.6,28.9,,3
89.93569817252828,273468.0,96.5,74.7,28.8,,3
75.0,327508.0,98.5,74.9,28.9,,3
79.89735103732461,362569.0,100.0,74.7,28.9,,3
80.7358073958303,293507.0,99.5,74.9,28.9,,3
99.72519015137243,340968.0,100.0,74.9,28.9,,3
88.5402256375034,293010.0,100.0,74.9,28.9,,3
83.64493820379855,354436.0,100.0,74.7,28.9,,3
78.79205138062157,365027.0,100.0,74.8,28.9,,3
83.19489048064956,338332.0,100.0,74.8,28.9,,3
83.18634710216483,424091.0,100.0,74.9,28.9,,3
87.89202220209653,307691.0,100.0,74.9,28.9,,3
94.5803592968255,301166.0,100.0,75.2,28.9,11.1,3
89.67090876003805,271613.0,100.0,74.8,28.9,,3
77.37451160881255,357874.0,100.0,74.6,28.9,,3
93.90773263996329,356854.0,100.0,74.7,28.9,,3
87.07481374089407,337955.0,100.0,74.7,28.9,,3
76.17182407706058,321206.0,100.0,74.7,28.9,,3
84.3148898323217,392284.0,100.0,74.7,28.9,,3
90.74894631654769,279478.0,100.0,74.6,28.9,,3
90.59267175515836,334596.0,100.0,74.6,28.9,,3
82.58462399755233,374467.0,100.0,74.6,28.9,,3
96.2479961799676,387251.0,100.0,74.8,28.9,,3
81.2862598142189,337631.0,100.0,74.7,28.9,,3
90.65010745122851,389021.0,99.5,74.8,28.9,,3
84.16660609723768,342573.0,100.0,75.0,28.9,,3
79.14932020795177,302151.0,100.0,75.0,28.8,,3
94.50020657915358,404249.0,100.0,74.8,28.9,,3
87.42391902735733,390141.0,100.0,74.8,28.8,,3
90.89308820038107,324195.0,100.0,74.8,28.8,,3
90.8911648440673,411521.0,100.0,74.8,28.8,11.0,3
87.71339168712039,412585.0,100.0,74.7,28.8,,3
75.0,382876.0,100.0,74.6,28.8,,3
88.69637654590537,338039.0,99.0,74.6,28.9,,3
88.73408621228401,270497.0,100.0,74.7,28.8,,3
